 Datum;01.09.11;02.09.11;03.09.11;04.09.11;05.09.11;06.09.11;07.09.11;08.09.11;09.09.11;10.09.11;11.09.11;12.09.11;13.09.11;14.09.11;15.09.11;16.09.11;17.09.11;18.09.11;19.09.11;20.09.11;21.09.11;22.09.11;23.09.11;24.09.11;25.09.11;26.09.11;27.09.11;28.09.11;29.09.11;30.09.11;31.09.11
Bagel Cream Cheese here;3;1;0;2;4;3;3;2;2;4;0;1;2;2;1;3;1;1;0;1;2;2;4;3;0;4;2;2;2;1;0
Bagel Cream Cheese to go;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;1;0;3;0;1;2;1;0
Bagel Fitness here;4;5;8;4;2;1;4;4;6;4;1;4;5;5;8;6;8;2;5;3;5;6;5;5;1;3;3;3;2;5;0
Bagel Fitness to go;0;2;0;0;0;2;0;0;3;2;0;4;1;3;0;1;0;1;1;3;1;3;1;0;0;0;1;5;5;1;0
Bagel Green Garden here;1;0;1;4;0;0;0;1;0;0;0;1;1;2;1;1;3;0;1;0;0;1;0;2;0;1;1;0;1;1;0
Bagel Green Garden to go;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bagel India here;1;0;4;2;0;1;3;1;2;0;0;4;1;2;1;0;0;0;1;1;0;1;0;1;0;0;1;4;2;2;0
Bagel India to go;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Bagel Mexico here;5;3;2;3;8;6;3;3;5;4;0;0;1;1;6;4;4;1;3;1;1;4;3;1;1;1;2;0;4;1;0
Bagel Mexico to go;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;0
Bagel Morning Star here;0;1;1;1;2;1;1;2;1;0;1;1;2;0;1;0;1;1;2;0;0;0;1;1;0;1;2;1;0;0;0
Bagel Morning Star to go;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Bagel Peanut Butter here;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bagel Peanut Butter to go;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Bagel plain here;2;1;1;0;2;1;5;0;1;2;0;1;0;1;3;1;1;1;0;2;0;1;1;2;1;0;1;1;0;0;0
Bagel plain to go;0;2;0;0;3;1;1;0;2;2;1;4;0;0;0;1;1;1;3;2;2;2;2;1;2;0;0;2;0;3;0
Bagel Roma oder Florenz here;7;7;1;7;6;10;12;11;9;13;3;10;10;8;9;11;8;8;9;7;7;7;11;14;5;11;10;12;6;13;0
Bagel Roma oder Florenz to go;5;1;0;0;1;2;4;2;3;2;2;3;2;0;2;0;2;0;2;3;2;2;1;6;1;3;0;5;4;1;0
